Title,Note,Labels
Criar modelo de dados (backend),Módulo: 🛒 Produtos,backend
Implementar CRUD de produtos (backend),Módulo: 🛒 Produtos,backend
Tela de cadastro e listagem de produtos (frontend),Módulo: 🛒 Produtos,frontend
Controle de estoque (entrada e saída),Módulo: 🛒 Produtos,backend
Relatório de estoque baixo,Módulo: 🛒 Produtos,backend
Implementar leitura de código de barras,Módulo: 💳 Vendas (PDV),frontend
Criar interface de PDV no frontend,Módulo: 💳 Vendas (PDV),frontend
Cálculo automático de troco e valores,Módulo: 💳 Vendas (PDV),backend
Suporte a múltiplas formas de pagamento,Módulo: 💳 Vendas (PDV),backend
Suspender/retomar vendas,Módulo: 💳 Vendas (PDV),backend
CRUD de clientes,Módulo: 👤 Clientes,backend
Histórico de compras,Módulo: 👤 Clientes,backend
Controle de fiado e limite de crédito,Módulo: 👤 Clientes,backend
Tela de busca por nome/CPF,Módulo: 👤 Clientes,frontend
Registro de entradas e saídas,Módulo: 📊 Financeiro,backend
Contas a pagar e receber,Módulo: 📊 Financeiro,backend
Fluxo de caixa diário,Módulo: 📊 Financeiro,backend
Relatório de vendas por período,Módulo: 📊 Financeiro,backend
Fechamento de caixa,Módulo: 📊 Financeiro,backend
Relatórios de vendas por produto,Módulo: 📈 Relatórios,backend
Produtos mais vendidos,Módulo: 📈 Relatórios,backend
Exportar relatórios em PDF/Excel,Módulo: 📈 Relatórios,backend
Criar login com autenticação JWT,Módulo: 🔐 Usuários e Segurança,backend
"Implementar níveis de acesso (admin, vendedor, estoquista)",Módulo: 🔐 Usuários e Segurança,backend
Registrar logs de ações por usuário,Módulo: 🔐 Usuários e Segurança,backend
